,risks,returns
0,0.015809923491191966,0.02
1,0.016533689218385873,0.021
2,0.01726008382638812,0.022000000000000002
3,0.017988788852189855,0.023000000000000003
4,0.018719534481240318,0.024000000000000004
5,0.019452090740354113,0.025000000000000005
6,0.020186260508042224,0.026000000000000006
7,0.02092187392603898,0.027000000000000007
8,0.021658783899530097,0.028000000000000008
9,0.022396862449614873,0.02900000000000001
10,0.023135997737688832,0.03000000000000001
11,0.023876091623225668,0.03100000000000001
12,0.02461705764777628,0.032000000000000015
13,0.025358819361677006,0.033000000000000015
14,0.026101308927970218,0.034000000000000016
15,0.026844465951839334,0.03500000000000002
16,0.027588236494501317,0.03600000000000002
17,0.028332572238760057,0.03700000000000002
18,0.029077429779874465,0.03800000000000002
19,0.0298239204478385,0.03900000000000002
20,0.03057771779527269,0.04000000000000002
21,0.03133909868470465,0.04100000000000002
22,0.032107523624315217,0.04200000000000002
23,0.03288249878455475,0.043000000000000024
24,0.033663571787029896,0.044000000000000025
25,0.03445032787534492,0.045000000000000026
26,0.03524238644148551,0.04600000000000003
27,0.03603939788033674,0.04700000000000003
28,0.03684104074503626,0.04800000000000003
29,0.03764701917671047,0.04900000000000003
30,0.038457060583458186,0.05000000000000003
31,0.039270913545038956,0.05100000000000003
32,0.04008834592145275,0.05200000000000003
33,0.04090914314536757,0.05300000000000003
34,0.041733106680096,0.054000000000000034
35,0.04256005262649891,0.055000000000000035
36,0.04338981046377619,0.056000000000000036
37,0.04422222191057874,0.05700000000000004
38,0.045178649087746575,0.05800000000000004
39,0.04666485222184408,0.05900000000000004
